State,Period,Population (thousands),Labor Force (thousands),Labor Force Participation Rate (LFPR) (%),LFPR compared to pre-pandemic levels (%),Employment (thousands),Unemployment (thousands),Unemployment compared to pre-pandemic levels (%),Unemployment Rate (%),Job Openings (thousands),Job Openings compared to pre-pandemic levels (%),Labor Shortage or Surplus (thousands),Available Worker Ratio,Quits (thousands),Quit Rate (%),Hires (thousands),Hire Rate (%)
Wyoming,11/1/2024,467,292,62.5,-3.4,282,10,-30.0,3.3,15,-11.8,-5,0.64,5,1.7,14,4.7
Alabama,10/1/2024,4109,2373,57.7,0.5,2299,73,-1.2,3.1,123,24.2,-50,0.59,49,2.2,76,3.5
Alaska,10/1/2024,555,362,65.2,0.8,345,17,-12.0,4.6,25,8.7,-8,0.66,6,1.8,37,11.0
Arizona,10/1/2024,6070,3761,62.0,0.0,3612,149,-11.7,4.0,160,0.6,-11,0.93,80,2.4,94,2.9
Arkansas,10/1/2024,2434,1420,58.3,0.4,1369,51,6.1,3.6,62,6.9,-11,0.82,34,2.5,50,3.7
California,10/1/2024,31709,19749,62.3,-0.7,18683,1066,23.9,5.4,660,-14.9,406,1.61,332,1.8,466,2.6
Colorado,10/1/2024,4833,3274,67.8,-0.9,3132,142,42.2,4.3,170,37.1,-28,0.83,60,2.0,99,3.3
Connecticut,10/1/2024,3009,1940,64.5,-1.8,1874,66,-10.9,3.4,77,10.0,-11,0.86,29,1.7,58,3.4
Delaware,10/1/2024,855,512,59.9,-1.1,492,20,16.5,3.9,26,18.2,-6,0.77,11,2.2,19,3.8
District of Columbia,10/1/2024,570,414,72.6,1.2,392,22,-2.7,5.4,35,6.1,-13,0.64,12,1.6,20,2.6
Florida,10/1/2024,19097,11117,58.2,-1.1,10731,386,24.7,3.5,461,13.0,-75,0.84,219,2.2,329,3.3
Georgia,10/1/2024,8837,5425,61.4,-1.5,5237,188,-0.4,3.5,267,17.6,-79,0.71,112,2.3,181,3.6
Hawaii,10/1/2024,1134,685,60.4,-0.9,667,19,24.6,2.7,32,23.1,-13,0.58,16,2.5,23,3.6
Idaho,10/1/2024,1571,1003,63.8,-0.3,966,36,42.2,3.6,47,17.5,-11,0.78,21,2.4,39,4.5
Illinois,10/1/2024,10233,6655,65.0,0.9,6328,327,31.7,4.9,258,-1.1,69,1.27,113,1.8,190,3.1
Indiana,10/1/2024,5469,3497,64.0,-0.2,3353,144,23.6,4.1,150,0.7,-6,0.96,90,2.8,123,3.8
Iowa,10/1/2024,2555,1717,67.2,-1.9,1658,59,28.2,3.4,72,-2.7,-13,0.82,29,1.8,48,3.0
Kansas,10/1/2024,2307,1558,67.5,0.4,1500,58,24.5,3.7,72,2.9,-14,0.81,29,2.0,45,3.1
Kentucky,10/1/2024,3613,2109,58.4,-0.2,2005,104,21.8,4.9,133,51.1,-29,0.78,52,2.6,77,3.8
Louisiana,10/1/2024,3595,2089,58.1,0.1,1996,93,-3.7,4.5,107,9.2,-14,0.87,54,2.7,87,4.4
Maine,10/1/2024,1179,710,60.2,-1.9,687,23,1.8,3.2,31,-3.1,-8,0.73,9,1.4,24,3.6
Maryland,10/1/2024,4987,3246,65.1,-4.2,3138,108,-6.0,3.3,164,8.6,-56,0.66,48,1.7,114,4.0
Massachusetts,10/1/2024,5916,3938,66.6,0.2,3777,161,36.7,4.1,185,-0.5,-24,0.87,48,1.3,100,2.7
Michigan,10/1/2024,8190,5075,62.0,0.6,4814,261,40.4,5.1,202,-4.3,59,1.29,95,2.1,158,3.5
Minnesota,10/1/2024,4618,3151,68.2,-1.7,3048,102,-6.9,3.2,162,35.0,-60,0.63,45,1.5,90,3.0
Mississippi,10/1/2024,2316,1289,55.7,-0.3,1243,46,-36.9,3.6,69,27.8,-23,0.67,31,2.6,51,4.3
Missouri,10/1/2024,4958,3151,63.6,-0.4,3033,118,12.2,3.7,175,40.0,-57,0.67,66,2.2,89,3.0
Montana,10/1/2024,920,578,62.8,-0.9,561,17,-12.8,2.9,37,37.0,-20,0.46,14,2.7,27,5.1
Nebraska,10/1/2024,1559,1085,69.6,-0.5,1054,31,-4.3,2.8,50,2.0,-19,0.61,21,2.0,35,3.3
Nevada,10/1/2024,2627,1650,62.8,-1.4,1560,90,31.9,5.5,79,27.4,11,1.14,48,3.1,56,3.6
New Hampshire,10/1/2024,1180,773,65.5,-2.7,752,21,8.5,2.8,37,2.8,-16,0.58,12,1.7,27,3.8
New Jersey,10/1/2024,7681,4900,63.8,-0.7,4669,231,18.4,4.7,200,5.8,31,1.15,67,1.5,145,3.3
New Mexico,10/1/2024,1705,985,57.8,0.0,944,42,-17.8,4.2,56,30.2,-14,0.74,21,2.4,32,3.6
New York,10/1/2024,16356,9945,60.8,-0.1,9533,412,-0.2,4.1,403,2.0,9,1.02,161,1.6,267,2.7
North Carolina,10/1/2024,8821,5295,60.0,-1.4,5098,197,3.9,3.7,273,19.2,-76,0.72,98,2.0,193,3.8
North Dakota,10/1/2024,615,427,69.5,0.1,416,11,18.6,2.5,26,13.0,-15,0.41,11,2.5,18,4.0
Ohio,10/1/2024,9484,5959,62.8,-0.7,5686,274,2.2,4.6,279,7.7,-5,0.98,132,2.3,189,3.3
Oklahoma,10/1/2024,3179,2004,63.0,2.2,1941,62,7.4,3.1,95,21.8,-33,0.66,44,2.5,69,3.9
Oregon,10/1/2024,3510,2200,62.7,1.7,2102,98,31.4,4.4,104,-7.1,-6,0.94,48,2.4,71,3.6
Pennsylvania,10/1/2024,10607,6542,61.7,-1.1,6285,257,-14.6,3.9,226,-12.1,31,1.14,96,1.6,173,2.8
Rhode Island,10/1/2024,922,594,64.4,0.2,568,26,26.8,4.5,24,4.3,2,1.10,9,1.7,20,3.9
South Carolina,10/1/2024,4413,2581,58.5,0.6,2468,113,65.4,4.4,130,25.0,-17,0.87,61,2.6,95,4.0
South Dakota,10/1/2024,716,487,68.1,-1.1,478,9,-20.9,1.9,24,14.3,-15,0.38,10,2.1,18,3.8
Tennessee,10/1/2024,5788,3481,60.1,-1.3,3357,124,7.3,3.6,169,3.0,-45,0.73,89,2.6,137,4.1
Texas,10/1/2024,24250,15746,64.9,1.1,15087,659,31.3,4.2,528,-0.2,131,1.25,305,2.1,500,3.5
Utah,10/1/2024,2677,1833,68.5,0.2,1771,62,51.3,3.4,84,10.5,-22,0.73,41,2.3,58,3.3
Vermont,10/1/2024,545,354,64.9,-0.9,345,9,13.5,2.5,15,-6.3,-6,0.58,5,1.6,11,3.5
Virginia,10/1/2024,7001,4554,65.0,-0.6,4414,139,8.9,3.1,251,17.8,-112,0.55,88,2.1,140,3.3
Washington,10/1/2024,6405,4038,63.0,-2.4,3861,177,18.1,4.4,158,-4.2,19,1.12,62,1.7,110,3.1
West Virginia,10/1/2024,1434,786,54.9,-0.1,755,31,-26.5,3.9,46,4.5,-15,0.67,17,2.4,30,4.2
Wisconsin,10/1/2024,4824,3147,65.2,-0.9,3049,97,1.5,3.1,141,-5.4,-44,0.69,59,1.9,103,3.4
Wyoming,10/1/2024,466,292,62.6,-3.2,282,10,-29.9,3.3,19,11.8,-9,0.51,7,2.4,15,5.1
Alabama,9/1/2024,4106,2369,57.7,0.5,2297,73,-1.9,3.1,106,7.1,-33,0.69,50,2.3,75,3.4
Alaska,9/1/2024,555,362,65.2,0.7,345,17,-11.8,4.6,21,-8.7,-4,0.79,9,2.7,16,4.8
Arizona,9/1/2024,6063,3755,61.9,-0.1,3609,146,-13.4,3.9,154,-3.1,-8,0.95,62,1.9,105,3.2
Arkansas,9/1/2024,2432,1418,58.3,0.4,1368,50,4.3,3.5,62,6.9,-12,0.81,28,2.1,53,4.0
California,9/1/2024,31697,19740,62.3,-0.7,18672,1068,24.2,5.4,555,-28.5,513,1.92,282,1.6,523,2.9
Colorado,9/1/2024,4830,3274,67.8,-0.9,3133,141,41.7,4.3,158,27.4,-17,0.90,49,1.6,104,3.5
Connecticut,9/1/2024,3007,1938,64.4,-1.8,1873,65,-12.1,3.4,76,8.6,-11,0.86,33,1.9,56,3.3
Delaware,9/1/2024,854,512,59.9,-1.1,492,20,16.5,3.9,22,0.0,-2,0.91,11,2.2,21,4.2
District of Columbia,9/1/2024,570,414,72.6,1.1,391,22,-3.1,5.4,33,0.0,-11,0.67,11,1.4,22,2.9
Florida,9/1/2024,19077,11120,58.3,-1.0,10735,385,24.4,3.5,423,3.7,-38,0.91,244,2.4,394,3.9
Georgia,9/1/2024,8828,5429,61.5,-1.4,5239,190,0.5,3.5,225,-0.9,-35,0.85,107,2.2,183,3.7
Hawaii,9/1/2024,1134,685,60.4,-1.0,666,19,26.5,2.8,24,-7.7,-5,0.79,9,1.4,21,3.3
Idaho,9/1/2024,1568,1002,63.9,-0.3,966,36,41.8,3.6,38,-5.0,-2,0.96,20,2.3,36,4.1
Illinois,9/1/2024,10228,6658,65.1,0.9,6324,333,34.3,5.0,265,1.5,68,1.26,103,1.7,196,3.2
Indiana,9/1/2024,5464,3493,63.9,-0.3,3347,145,24.5,4.2,134,-10.1,11,1.09,92,2.8,116,3.6
Iowa,9/1/2024,2554,1714,67.1,-2.0,1656,58,26.3,3.4,65,-12.2,-7,0.90,34,2.1,48,3.0
Kansas,9/1/2024,2305,1556,67.5,0.4,1498,58,23.6,3.7,67,-4.3,-9,0.86,27,1.8,46,3.1
Kentucky,9/1/2024,3610,2107,58.4,-0.2,2003,104,22.1,4.9,115,30.7,-11,0.90,42,2.1,73,3.6
Louisiana,9/1/2024,3594,2090,58.2,0.2,1997,93,-3.7,4.5,84,-14.3,9,1.11,49,2.5,77,3.9
Maine,9/1/2024,1178,709,60.2,-1.8,687,22,0.0,3.1,31,-3.1,-9,0.72,14,2.1,21,3.2
Maryland,9/1/2024,4984,3245,65.1,-4.2,3138,107,-6.9,3.3,126,-16.6,-19,0.85,55,1.9,96,3.4
Massachusetts,9/1/2024,5914,3935,66.5,0.2,3774,161,36.7,4.1,164,-11.8,-3,0.98,54,1.4,111,3.0
Michigan,9/1/2024,8185,5074,62.0,0.6,4817,256,38.1,5.1,220,4.3,36,1.17,99,2.2,198,4.4
Minnesota,9/1/2024,4615,3148,68.2,-1.8,3045,102,-6.8,3.3,163,35.8,-61,0.63,60,2.0,95,3.1
Mississippi,9/1/2024,2315,1285,55.5,-0.5,1241,44,-39.3,3.4,58,7.4,-14,0.76,31,2.6,45,3.8
Missouri,9/1/2024,4955,3150,63.6,-0.4,3032,118,12.2,3.7,159,27.2,-41,0.74,60,2.0,98,3.3
Montana,9/1/2024,919,579,63.0,-0.7,561,17,-11.1,3.0,28,3.7,-11,0.61,11,2.1,28,5.3
Nebraska,9/1/2024,1558,1083,69.5,-0.6,1053,30,-4.8,2.8,46,-6.1,-16,0.66,20,1.9,34,3.2
Nevada,9/1/2024,2623,1648,62.8,-1.3,1558,90,32.1,5.5,67,8.1,23,1.35,35,2.2,65,4.1
New Hampshire,9/1/2024,1179,773,65.6,-2.7,752,21,5.5,2.7,43,19.4,-22,0.48,13,1.8,26,3.7
New Jersey,9/1/2024,7676,4904,63.9,-0.6,4674,230,17.8,4.7,211,11.6,19,1.09,61,1.4,129,3.0
New Mexico,9/1/2024,1704,984,57.8,0.0,943,42,-17.4,4.2,50,16.3,-8,0.84,17,1.9,31,3.5
New York,9/1/2024,16352,9945,60.8,-0.1,9530,415,0.7,4.2,490,24.1,-75,0.85,177,1.8,305,3.1
North Carolina,9/1/2024,8809,5297,60.1,-1.2,5101,196,3.4,3.7,257,12.2,-61,0.76,88,1.7,158,3.1
North Dakota,9/1/2024,614,427,69.5,0.2,416,11,18.1,2.5,23,0.0,-12,0.47,10,2.2,16,3.6
Ohio,9/1/2024,9479,5954,62.8,-0.7,5686,268,0.3,4.5,259,0.0,9,1.04,114,2.0,190,3.4
Oklahoma,9/1/2024,3176,2002,63.0,2.2,1939,63,8.5,3.1,83,6.4,-20,0.76,39,2.2,65,3.6
Oregon,9/1/2024,3508,2198,62.6,1.7,2102,96,28.9,4.4,98,-12.5,-2,0.98,32,1.6,68,3.4
Pennsylvania,9/1/2024,10603,6551,61.8,-1.0,6297,254,-15.5,3.9,287,11.7,-33,0.89,135,2.2,181,2.9
Rhode Island,9/1/2024,922,594,64.5,0.3,568,26,26.7,4.4,28,21.7,-2,0.94,14,2.7,20,3.9
South Carolina,9/1/2024,4407,2580,58.5,0.7,2465,115,68.7,4.5,125,20.2,-10,0.92,49,2.1,112,4.7
South Dakota,9/1/2024,715,487,68.1,-1.1,478,9,-21.6,1.9,22,4.8,-13,0.41,9,1.9,17,3.6
Tennessee,9/1/2024,5782,3475,60.1,-1.3,3352,123,6.3,3.5,156,-4.9,-33,0.79,84,2.5,132,3.9
Texas,9/1/2024,24216,15723,64.9,1.1,15062,661,31.7,4.2,476,-10.0,185,1.39,323,2.3,553,3.9
Utah,9/1/2024,2673,1832,68.5,0.3,1770,62,52.4,3.4,71,-6.6,-9,0.87,31,1.8,57,3.3
Vermont,9/1/2024,545,354,65.0,-0.9,345,9,12.2,2.4,15,-6.3,-6,0.57,7,2.2,11,3.5
Virginia,9/1/2024,6995,4553,65.1,-0.5,4416,137,7.5,3.0,241,13.1,-104,0.57,83,1.9,158,3.7
Washington,9/1/2024,6398,4039,63.1,-2.3,3860,179,19.8,4.4,133,-19.4,46,1.35,55,1.5,109,3.0
West Virginia,9/1/2024,1433,788,55.0,0.0,756,32,-25.3,4.0,39,-11.4,-7,0.81,19,2.6,28,3.9
Wisconsin,9/1/2024,4821,3147,65.3,-0.9,3051,96,-0.2,3.0,131,-12.1,-35,0.73,55,1.8,91,3.0
Wyoming,9/1/2024,466,292,62.7,-3.1,283,10,-30.3,3.3,15,-11.8,-5,0.64,6,2.0,12,4.1
Alabama,8/1/2024,4103,2365,57.6,0.4,2293,72,-3.2,3.0,116,17.2,-44,0.62,43,2.0,76,3.5
Alaska,8/1/2024,554,361,65.2,0.7,345,17,-12.0,4.6,22,-4.3,-5,0.75,9,2.7,16,4.8
Arizona,8/1/2024,6055,3749,61.9,-0.1,3606,143,-15.4,3.8,164,3.1,-21,0.87,68,2.1,101,3.1
Arkansas,8/1/2024,2430,1417,58.3,0.4,1367,50,2.9,3.5,64,10.3,-14,0.77,25,1.9,44,3.3
California,8/1/2024,31685,19740,62.3,-0.7,18675,1065,23.8,5.4,607,-21.8,458,1.75,320,1.8,497,2.8
Colorado,8/1/2024,4826,3273,67.8,-0.8,3133,140,40.4,4.3,150,21.0,-10,0.93,75,2.5,105,3.5
Connecticut,8/1/2024,3006,1936,64.4,-1.9,1872,65,-13.3,3.3,82,17.1,-17,0.79,30,1.8,56,3.3
Delaware,8/1/2024,853,511,59.9,-1.1,491,20,16.9,3.9,26,18.2,-6,0.78,10,2.0,19,3.9
District of Columbia,8/1/2024,570,413,72.6,1.1,391,22,-3.3,5.4,35,6.1,-13,0.63,12,1.6,19,2.5
Florida,8/1/2024,19058,11125,58.4,-0.9,10741,384,24.1,3.4,458,12.3,-74,0.84,263,2.6,411,4.1
Georgia,8/1/2024,8819,5433,61.6,-1.3,5242,191,1.1,3.5,265,16.7,-74,0.72,105,2.1,172,3.5
Hawaii,8/1/2024,1133,684,60.4,-1.0,665,19,27.5,2.8,25,-3.8,-6,0.76,11,1.7,18,2.8
Idaho,8/1/2024,1566,1001,63.9,-0.3,964,36,41.2,3.6,43,7.5,-7,0.84,23,2.6,37,4.3
Illinois,8/1/2024,10224,6659,65.1,1.0,6320,339,36.5,5.1,281,7.7,58,1.20,129,2.1,188,3.1
Indiana,8/1/2024,5460,3487,63.9,-0.3,3341,145,24.3,4.2,141,-5.4,4,1.03,77,2.4,112,3.4
Iowa,8/1/2024,2552,1712,67.1,-2.1,1655,57,23.4,3.3,72,-2.7,-15,0.79,30,1.9,44,2.7
Kansas,8/1/2024,2303,1554,67.5,0.4,1497,57,22.3,3.7,71,1.4,-14,0.80,33,2.3,47,3.2
Kentucky,8/1/2024,3608,2104,58.3,-0.3,2001,104,21.7,4.9,136,54.5,-32,0.76,38,1.9,72,3.5
Louisiana,8/1/2024,3592,2091,58.2,0.2,1999,92,-4.9,4.4,105,7.1,-13,0.88,37,1.9,70,3.5
Maine,8/1/2024,1178,709,60.2,-1.8,687,22,-2.0,3.1,35,9.4,-13,0.62,14,2.1,26,3.9
Maryland,8/1/2024,4981,3247,65.2,-4.1,3140,108,-6.6,3.3,163,7.9,-55,0.66,53,1.9,96,3.4
Massachusetts,8/1/2024,5911,3933,66.5,0.2,3772,161,36.6,4.1,187,0.5,-26,0.86,59,1.6,131,3.5
Michigan,8/1/2024,8181,5071,62.0,0.7,4820,252,35.4,5.0,207,-1.9,45,1.22,119,2.6,169,3.8
Minnesota,8/1/2024,4611,3144,68.2,-1.8,3042,102,-6.8,3.3,167,39.2,-65,0.61,62,2.1,86,2.9
Mississippi,8/1/2024,2314,1281,55.4,-0.6,1239,42,-41.9,3.3,61,13.0,-19,0.70,23,1.9,41,3.4
Missouri,8/1/2024,4952,3151,63.6,-0.4,3032,118,12.6,3.8,166,32.8,-48,0.71,66,2.2,93,3.1
Montana,8/1/2024,918,579,63.1,-0.6,562,17,-9.7,3.0,28,3.7,-11,0.62,14,2.7,22,4.2
Nebraska,8/1/2024,1556,1081,69.5,-0.6,1051,30,-5.6,2.8,46,-6.1,-16,0.65,23,2.2,30,2.8
Nevada,8/1/2024,2620,1646,62.8,-1.3,1556,90,31.9,5.5,66,6.5,24,1.36,34,2.2,55,3.5
New Hampshire,8/1/2024,1178,772,65.6,-2.7,752,20,3.0,2.6,35,-2.8,-15,0.58,13,1.8,26,3.7
New Jersey,8/1/2024,7671,4907,64.0,-0.5,4677,229,17.5,4.7,211,11.6,18,1.09,72,1.7,123,2.8
New Mexico,8/1/2024,1703,983,57.7,-0.1,942,42,-17.4,4.3,48,11.6,-6,0.87,17,1.9,28,3.1
New York,8/1/2024,16348,9945,60.8,-0.1,9526,418,1.4,4.2,498,26.1,-80,0.84,169,1.7,294,3.0
North Carolina,8/1/2024,8796,5299,60.2,-1.1,5104,195,2.9,3.7,247,7.9,-52,0.79,83,1.7,157,3.1
North Dakota,8/1/2024,614,426,69.5,0.2,416,11,17.4,2.5,23,0.0,-12,0.46,10,2.2,15,3.3
Ohio,8/1/2024,9473,5948,62.8,-0.7,5684,264,-1.3,4.4,284,9.7,-20,0.93,122,2.2,188,3.3
Oklahoma,8/1/2024,3174,2001,63.0,2.3,1937,64,9.5,3.2,110,41.0,-46,0.58,42,2.4,72,4.0
Oregon,8/1/2024,3506,2195,62.6,1.6,2101,94,26.8,4.3,98,-12.5,-4,0.96,39,2.0,60,3.0
Pennsylvania,8/1/2024,10599,6561,61.9,-0.9,6309,252,-16.3,3.8,300,16.7,-48,0.84,127,2.1,192,3.1
Rhode Island,8/1/2024,921,594,64.5,0.3,568,26,26.3,4.4,29,26.1,-3,0.91,13,2.5,21,4.1
South Carolina,8/1/2024,4400,2578,58.6,0.7,2462,116,69.6,4.5,148,42.3,-32,0.78,63,2.7,94,4.0
South Dakota,8/1/2024,715,486,68.1,-1.1,477,9,-22.1,1.9,21,0.0,-12,0.43,10,2.1,14,3.0
Tennessee,8/1/2024,5776,3469,60.1,-1.4,3348,121,4.7,3.5,166,1.2,-45,0.73,77,2.3,124,3.7
Texas,8/1/2024,24181,15696,64.9,1.0,15037,659,31.3,4.2,633,19.7,26,1.04,305,2.2,496,3.5
Utah,8/1/2024,2669,1831,68.6,0.3,1769,62,52.8,3.4,77,1.3,-15,0.81,34,1.9,62,3.6
Vermont,8/1/2024,544,354,65.0,-0.9,345,8,10.3,2.4,17,6.3,-9,0.50,6,1.9,12,3.8
Virginia,8/1/2024,6988,4553,65.2,-0.5,4418,135,5.9,3.0,259,21.6,-124,0.52,86,2.0,146,3.4
Washington,8/1/2024,6391,4043,63.3,-2.2,3861,182,21.5,4.5,133,-19.4,49,1.37,64,1.8,103,2.8
West Virginia,8/1/2024,1433,789,55.1,0.1,757,32,-24.6,4.0,45,2.3,-13,0.71,16,2.2,28,3.9
Wisconsin,8/1/2024,4818,3146,65.3,-0.8,3052,94,-1.4,3.0,139,-6.7,-45,0.68,58,1.9,84,2.8
Wyoming,8/1/2024,466,292,62.8,-3.0,283,9,-31.2,3.2,15,-11.8,-6,0.63,6,2.0,12,4.1
Alabama,7/1/2024,4100,2361,57.6,0.3,2290,70,-4.9,3.0,118,19.2,-48,0.60,50,2.3,77,3.5
Alaska,7/1/2024,554,361,65.2,0.7,344,16,-12.5,4.6,20,-13.0,-4,0.82,9,2.7,17,5.1
Arizona,7/1/2024,6048,3744,61.9,-0.1,3605,139,-17.6,3.7,165,3.8,-26,0.84,62,1.9,138,4.2
Arkansas,7/1/2024,2428,1415,58.3,0.4,1366,49,1.9,3.5,62,6.9,-13,0.79,32,2.4,49,3.7
California,7/1/2024,31672,19725,62.3,-0.7,18669,1057,22.9,5.4,614,-20.9,443,1.72,388,2.2,561,3.1
Colorado,7/1/2024,4823,3271,67.8,-0.8,3133,138,38.2,4.2,194,56.5,-56,0.71,107,3.6,133,4.5
Connecticut,7/1/2024,3004,1934,64.4,-1.9,1871,64,-14.5,3.3,82,17.1,-18,0.78,23,1.3,58,3.4
Delaware,7/1/2024,852,511,60.0,-1.1,491,20,17.3,4.0,27,22.7,-7,0.75,15,3.1,22,4.5
District of Columbia,7/1/2024,569,413,72.6,1.1,391,22,-3.7,5.4,32,-3.0,-10,0.69,13,1.7,15,2.0
Florida,7/1/2024,19038,11128,58.5,-0.9,10748,380,22.9,3.4,482,18.1,-102,0.79,316,3.2,391,3.9
Georgia,7/1/2024,8809,5434,61.7,-1.2,5243,191,1.2,3.5,246,8.4,-55,0.78,110,2.2,170,3.4
Hawaii,7/1/2024,1133,683,60.3,-1.0,664,19,27.6,2.8,26,0.0,-7,0.73,11,1.7,23,3.6
Idaho,7/1/2024,1563,999,63.9,-0.3,963,36,40.6,3.6,43,7.5,-7,0.84,21,2.4,41,4.7
Illinois,7/1/2024,10220,6657,65.1,1.0,6316,342,37.7,5.1,328,25.7,14,1.04,102,1.7,216,3.5
Indiana,7/1/2024,5456,3480,63.8,-0.4,3336,144,23.5,4.1,142,-4.7,2,1.02,68,2.1,118,3.6
Iowa,7/1/2024,2551,1711,67.1,-2.1,1656,55,19.4,3.2,72,-2.7,-17,0.76,32,2.0,57,3.6
Kansas,7/1/2024,2301,1551,67.4,0.3,1495,56,20.5,3.6,65,-7.1,-9,0.87,28,1.9,45,3.1
Kentucky,7/1/2024,3605,2101,58.3,-0.3,1998,103,20.9,4.9,126,43.2,-23,0.82,48,2.4,73,3.6
Louisiana,7/1/2024,3591,2090,58.2,0.2,2000,90,-7.0,4.3,118,20.4,-28,0.76,50,2.5,80,4.0
Maine,7/1/2024,1177,708,60.2,-1.8,687,21,-4.1,3.0,33,3.1,-12,0.64,12,1.8,24,3.6
Maryland,7/1/2024,4978,3245,65.2,-4.1,3139,106,-7.9,3.3,156,3.3,-50,0.68,68,2.4,95,3.3
Massachusetts,7/1/2024,5909,3931,66.5,0.2,3771,160,35.7,4.1,186,0.0,-26,0.86,54,1.4,121,3.2
Michigan,7/1/2024,8176,5069,62.0,0.7,4823,246,32.3,4.8,201,-4.7,45,1.22,84,1.9,173,3.9
Minnesota,7/1/2024,4607,3141,68.2,-1.8,3039,102,-7.5,3.2,169,40.8,-67,0.60,54,1.8,103,3.4
Mississippi,7/1/2024,2313,1277,55.2,-0.8,1237,40,-44.7,3.2,61,13.0,-21,0.66,31,2.6,44,3.7
Missouri,7/1/2024,4949,3149,63.6,-0.4,3031,119,13.0,3.8,155,24.0,-36,0.77,72,2.4,107,3.6
Montana,7/1/2024,917,580,63.2,-0.5,562,18,-8.8,3.0,25,-7.4,-7,0.71,14,2.7,26,4.9
Nebraska,7/1/2024,1555,1079,69.4,-0.7,1049,30,-6.6,2.8,45,-8.2,-15,0.66,21,2.0,36,3.4
Nevada,7/1/2024,2617,1644,62.8,-1.3,1554,90,31.5,5.5,59,-4.8,31,1.52,35,2.2,61,3.9
New Hampshire,7/1/2024,1177,772,65.6,-2.7,752,20,0.8,2.6,35,-2.8,-15,0.57,12,1.7,25,3.6
New Jersey,7/1/2024,7666,4909,64.0,-0.4,4680,229,17.2,4.7,211,11.6,18,1.08,63,1.4,127,2.9
New Mexico,7/1/2024,1702,983,57.7,-0.1,941,42,-18.0,4.2,45,4.7,-3,0.92,17,1.9,32,3.6
New York,7/1/2024,16343,9943,60.8,-0.1,9522,420,1.8,4.2,443,12.2,-23,0.95,120,1.2,278,2.8
North Carolina,7/1/2024,8784,5301,60.3,-1.0,5106,194,2.4,3.7,271,18.3,-77,0.72,110,2.2,168,3.3
North Dakota,7/1/2024,613,426,69.4,0.1,415,11,16.0,2.5,22,-4.3,-11,0.48,9,2.0,18,4.0
Ohio,7/1/2024,9468,5941,62.8,-0.8,5680,261,-2.5,4.4,280,8.1,-19,0.93,125,2.2,185,3.3
Oklahoma,7/1/2024,3171,1999,63.1,2.3,1935,64,10.3,3.2,108,38.5,-44,0.59,39,2.2,77,4.3
Oregon,7/1/2024,3504,2194,62.6,1.6,2101,93,25.2,4.2,91,-18.8,2,1.02,41,2.1,74,3.7
Pennsylvania,7/1/2024,10595,6571,62.0,-0.8,6321,250,-16.9,3.8,297,15.6,-47,0.84,133,2.2,219,3.6
Rhode Island,7/1/2024,921,595,64.6,0.4,568,26,25.0,4.4,27,17.4,-1,0.97,9,1.8,21,4.1
South Carolina,7/1/2024,4393,2574,58.6,0.7,2460,114,67.4,4.4,130,25.0,-16,0.88,73,3.1,90,3.8
South Dakota,7/1/2024,714,486,68.0,-1.2,477,9,-22.9,1.8,21,0.0,-12,0.42,10,2.1,17,3.6
Tennessee,7/1/2024,5770,3464,60.0,-1.4,3346,118,2.7,3.4,167,1.8,-49,0.71,90,2.7,121,3.6
Texas,7/1/2024,24147,15665,64.9,1.0,15011,654,30.3,4.2,570,7.8,84,1.15,300,2.1,442,3.1
Utah,7/1/2024,2665,1830,68.7,0.4,1768,62,52.2,3.4,69,-9.2,-7,0.90,37,2.1,66,3.8
Vermont,7/1/2024,544,354,65.0,-0.8,346,8,7.8,2.3,17,6.3,-9,0.49,6,1.9,11,3.5
Virginia,7/1/2024,6982,4553,65.2,-0.4,4420,133,4.1,2.9,242,13.6,-109,0.55,98,2.3,132,3.1
Washington,7/1/2024,6383,4045,63.4,-2.0,3862,184,22.8,4.5,131,-20.6,53,1.40,56,1.5,107,3.0
West Virginia,7/1/2024,1433,790,55.2,0.2,758,32,-24.1,4.1,45,2.3,-13,0.71,22,3.1,29,4.0
Wisconsin,7/1/2024,4815,3146,65.3,-0.8,3052,94,-1.9,3.0,136,-8.7,-42,0.69,49,1.6,100,3.3
Wyoming,7/1/2024,465,293,62.9,-2.9,283,9,-32.2,3.2,15,-11.8,-6,0.62,7,2.4,15,5.1
Alabama,6/1/2024,4096,2356,57.5,0.3,2287,69,-6.5,2.9,109,10.1,-40,0.64,51,2.3,75,3.4
Alaska,6/1/2024,554,361,65.1,0.7,344,16,-13.1,4.5,22,-4.3,-6,0.74,10,3.0,17,5.1
Arizona,6/1/2024,6039,3738,61.9,-0.1,3603,135,-19.9,3.6,177,11.3,-42,0.76,67,2.1,109,3.3
Arkansas,6/1/2024,2425,1412,58.2,0.3,1364,49,1.0,3.4,71,22.4,-22,0.68,32,2.4,54,4.1
California,6/1/2024,31648,19703,62.3,-0.8,18658,1045,21.5,5.3,632,-18.6,413,1.65,277,1.5,443,2.5
Colorado,6/1/2024,4816,3269,67.9,-0.8,3133,135,35.5,4.1,178,43.5,-43,0.76,75,2.5,114,3.8
Connecticut,6/1/2024,3001,1932,64.4,-1.9,1870,63,-15.8,3.2,79,12.9,-16,0.79,30,1.8,55,3.2
